Year,Month,Day,DocNo,Machine Name,Producted Item.Code,Producted Item.Name,ProducedQty,ScrapQtySum,AvgRejectPct,Reject_Status,RMCount,Reject_Limit_Status,Reject_Limit.AvgRejectPct_Item
2026,April,23,MS-26-04738,INJECTION AREA,UM-1000ML,URINALMALEBOTTLE1000ML,2349,9,0.38%,Acceptable 🟢,1,Below usual 🔻,0.43%
2026,April,23,MS-26-04739,INJECTION AREA,BOT-GEL-1000,GEL BOTTLE  1000 ML W/O NECK,1907,7,0.37%,Acceptable 🟢,1,Below usual 🔻,1.56%
2026,April,23,MS-26-04740,INJECTION AREA,APC-3-HOU-1,Housing for Applicator (D:1.5 cm),3661,14,0.38%,Acceptable 🟢,1,Below usual 🔻,0.57%
2026,April,23,MS-26-04741,INJECTION AREA,APC-3-NOZ-1,Nozzle for applicator,4663,10,0.21%,Acceptable 🟢,1,Below usual 🔻,0.50%
2026,April,23,MS-26-04742,INJECTION AREA,APC-3-COV-1,Cap Bottom Cover for Applicator (D:2.7cm),4975,15,0.30%,Acceptable 🟢,1,Below usual 🔻,0.59%
2026,April,23,MS-26-04743,INJECTION AREA,APC-3-CAP-1,Cap Top Housing for Applicator (D:1.5 cm),4843,10,0.21%,Acceptable 🟢,1,Below usual 🔻,0.55%
2026,April,23,MS-26-04744,INJECTION AREA,APC-3-PTC-1,Protector for Applicator (D:3.5 cm),5220,11,0.21%,Acceptable 🟢,1,Below usual 🔻,0.49%
2026,April,23,MS-26-04745,INJECTION AREA,BBT-7MM-5MTR,BABBLESTUBEID=7MMTL=5MT,536,11,2.05%,Acceptable 🟢,1,Below usual 🔻,2.35%
2026,April,23,MS-26-04746,INJECTION AREA,SUC-CON-T-180,SUCTIONCONNTUBES/S180CM.,4409,9,0.20%,Acceptable 🟢,1,Below usual 🔻,0.68%
2026,April,23,MS-26-04747,INJECTION AREA,SUC-CON-T-180,SUCTIONCONNTUBES/S180CM.,4611,11,0.24%,Acceptable 🟢,1,Below usual 🔻,0.68%
2026,April,23,MS-26-04748,INJECTION AREA,SUC-CON-T-270,SUCTIONCONNTUBES/S270MINI,510,10,1.96%,Acceptable 🟢,1,Above usual 🔺,0.47%
2026,April,23,MS-26-04749,INJECTION AREA,ZIP-L-PB-28,SELF SEALING PLASTIC BAG W/O PRINTING SIZE:28CM,338,3,0.89%,Acceptable 🟢,1,Below usual 🔻,1.23%
2026,April,23,MS-26-04750,INJECTION AREA,PET-CAP-50,PET CAP FOR 50ML BOTTLE,5420,9,0.17%,Acceptable 🟢,1,Below usual 🔻,0.66%
2026,April,23,MS-26-04751,Pak Form-1,G-052-2002,"URINEBAG2000MLWITHSAMPLINGPORT,",,1.42,,No data,3,No data,0.36%
2026,April,23,MS-26-04752,ZHONGI-4,G-123-0650,SUCTION CATH F/C CH:06 50CM,,1.1400000000000001,,No data,3,No data,0.30%
2026,April,23,MS-26-04753,THERA 650,G-131-0840,MALE NEALTON CATH CH:08-40CM,,1.2000000000000002,,No data,3,No data,
2026,April,23,MS-26-04754,ZHONGYI-4,G-123-0850,SUCTION CATHETER FINGER CONTROL VALVE L-50 CM SZ-08,,1.1400000000000001,,No data,3,No data,0.15%
2026,April,23,MS-26-04755,THERA 650,G-131-0840,MALE NEALTON CATH CH:08-40CM,,1.2000000000000002,,No data,3,No data,
2026,April,23,MS-26-04756,INJECTION AREA,BC-H-CAP,BC BAG HOLDER CAP,13225,26,0.20%,Acceptable 🟢,1,Below usual 🔻,0.36%
2026,April,23,MS-26-04757,INJECTION AREA,3WAY-M-CAP,3WAYMALECAP,62837,60,0.10%,Acceptable 🟢,1,Below usual 🔻,0.16%
2026,April,23,MS-26-04758,INJECTION AREA,IV-BS-2,BLOODSTOPPER-2,53226,26,0.05%,Acceptable 🟢,1,Below usual 🔻,0.06%
2026,April,23,MS-26-04759,INJECTION AREA,F-S-HOLDER,FACESHEILDHOLDER,3514,10,0.28%,Acceptable 🟢,1,Below usual 🔻,0.48%
2026,April,23,MS-26-04760,INJECTION AREA,IV-NP24-K-1,NEEDLEHOLDERW/PG24W/OSMMPNEEDLEHOLDERW/PG24KAHL,36280,30,0.08%,Acceptable 🟢,1,Below usual 🔻,0.10%
2026,April,23,MS-26-04761,INJECTION AREA,YAN-CON-UV,YANKAUERCONNECTORUNIVERSAL,15464,37,0.24%,Acceptable 🟢,1,Above usual 🔺,0.23%
2026,April,23,MS-26-04762,INJECTION AREA,MALE-CON-LL-2,MALE CONNECTOR LUER LOCK NEW,29166,38,0.13%,Acceptable 🟢,1,Below usual 🔻,0.33%
2026,April,23,MS-26-04763,INJECTION AREA,YAN-H-CTV,YANKAUERHANDLECTV,7257,40,0.55%,Acceptable 🟢,1,Below usual 🔻,0.65%
2026,April,23,MS-26-04764,INJECTION AREA,IV-HS-YL,CATHETERHUBG24W/OP,22712,30,0.13%,Acceptable 🟢,1,Below usual 🔻,0.23%
2026,April,23,MS-26-04765,INJECTION AREA,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,22378,26,0.12%,Acceptable 🟢,1,Above usual 🔺,0.09%
2026,April,23,MS-26-04766,INJECTION AREA,EP-UNIV,ENDPLUG-2,45095,16,0.04%,Acceptable 🟢,1,Below usual 🔻,0.08%
2026,April,23,MS-26-04767,INJECTION AREA,3WAY-HOU-4,3WAYHOUSING4,14847,15,0.10%,Acceptable 🟢,1,Below usual 🔻,0.34%
2026,April,23,MS-26-04768,INJECTION AREA,FEP-24-R-M,FEPTUBEG-24REEL,18150,150,0.83%,Acceptable 🟢,1,Above usual 🔺,0.75%
2026,April,23,MS-26-04769,NEW KAHLE,BU-070-1432,IV CANNULA WITHOUT PORT 14G NEEDLE LENGTH-32MM,,60.870000000000005,,No data,5,No data,
2026,April,23,MS-26-04770,NELI PACK,G-189-XR25,INJECTOR DUAL SYRINGE 2x200 ML AND COILED LOW PRESSURE CONNECTOR,,0.92,,No data,1,No data,1.03%
2026,April,23,MS-26-04771,COLIMATIC 90-2,G-720-2590,"SPINALNEEDLEPENCILPOINTWITHINTRODUCERNEEDLEG25X3.5""-ORANGE",,1.04,,No data,3,No data,1.50%
2026,April,23,MS-26-04772,COLIMATIC 90-2,G-720-2790,"SPINALNEEDLEPENCILPOINTWITHINTRODUCERNEEDLEG27X3.5""-GREY",,1.04,,No data,3,No data,
2026,April,23,MS-26-04773,PAK FORM- 1,G-093-4000C,LARYNGEAL MASK AIRWAY HYPER CURVE 90 DEGREE ANGLE SIZE- 4.0,,1.2000000000000002,,No data,3,No data,
2026,April,23,MS-26-04774,Huarong#32,3WAY-HOU-4,3WAYHOUSING4,,0.02,,No data,1,No data,0.34%
2026,April,23,MS-26-04775,HUARONG#33,3WAY-HOU-5,3WAY HOUSING-5,,0.02,,No data,1,No data,0.36%
2026,April,23,MS-26-04776,HUARONG#31,EP-UNIV,ENDPLUG-2,,0.15,,No data,2,No data,0.08%
2026,April,23,MS-26-04777,SUPERMASTER#23,IV-HS-YL,CATHETERHUBG24W/OP,,0.04,,No data,1,No data,0.23%
2026,April,23,MS-26-04778,SUPERMASTER,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,,0.01,,No data,1,No data,0.09%
2026,April,23,MS-26-04779,SUPERMASTER#19,APC-3-COV-1,Cap Bottom Cover for Applicator (D:2.7cm),,0.02,,No data,1,No data,0.59%
2026,April,23,MS-26-04780,ARBURG#12,IV-NP24-K-1,NEEDLEHOLDERW/PG24W/OSMMPNEEDLEHOLDERW/PG24KAHL,,0.04,,No data,1,No data,0.10%
2026,April,24,MS-26-04781,Huarong#32,3WAY-HOU-4,3WAYHOUSING4,,0.02,,No data,1,No data,0.34%
2026,April,24,MS-26-04782,HUARONG#33,3WAY-HOU-5,3WAY HOUSING-5,,0.02,,No data,1,No data,0.36%
2026,April,24,MS-26-04783,COLIMATIC-90-2,G-017-22LA,MULTIPLE SAMPLE NEEDLE,,1,,No data,1,No data,0.12%
2026,April,24,MS-26-04784,ARBURG #12,IV-NP-24-K1,NEEDLEHOLDERG24W/P,,0.04,,No data,1,No data,
2026,April,24,MS-26-04785,SUPER MASTER #23,IV-HS-YL,CATHETERHUBG24W/OP,,0.05,,No data,1,No data,0.23%
2026,April,24,MS-26-04786,SUPER MASTER #25,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,,0.01,,No data,1,No data,0.09%
2026,April,24,MS-26-04787,SUPERMASTER#23,IV-HS-YL,CATHETERHUBG24W/OP,,0.03,,No data,1,No data,0.23%
2026,April,24,MS-26-04788,SUPERMASTER#25,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,,0.01,,No data,1,No data,0.09%
2026,April,24,MS-26-04789,SUPERMASTER#19,APC-3-HOU-1,Housing for Applicator (D:1.5 cm),,0.02,,No data,1,No data,0.57%
2026,April,24,MS-26-04790,ARBURG#12,IV-NP24-K-1,NEEDLEHOLDERW/PG24W/OSMMPNEEDLEHOLDERW/PG24KAHL,,0.04,,No data,1,No data,0.10%
2026,April,25,MS-26-04791,Huarong#32,3WAY-HOU-4,3WAYHOUSING4,,0.02,,No data,1,No data,0.34%
2026,April,25,MS-26-04792,HUARONG#33,3WAY-HOU-5,3WAY HOUSING-5,,0.02,,No data,1,No data,0.36%
2026,April,25,MS-26-04793,ARBURG #12,IV-NP-24-K1,NEEDLEHOLDERG24W/P,,0.04,,No data,1,No data,
2026,April,25,MS-26-04794,SUPER MASTER #23,IV-HS-YL,CATHETERHUBG24W/OP,,0.05,,No data,1,No data,0.23%
2026,April,25,MS-26-04795,SUPER MASTER #25,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,,0.01,,No data,1,No data,0.09%
2026,April,25,MS-26-04796,colimatic 90-,G-175-1ML,ORAL MEDICATION SYRING 1ML,,1.06,,No data,3,No data,0.37%
2026,April,25,MS-26-04797,PAK FORM-2,G-421-2138,IV INFUSION SET 210CM,,1.1400000000000001,,No data,3,No data,0.07%
2026,April,25,MS-26-04798,ZHONGYI-4,G-112-1050,FEEDING TUBE SIZE 10-50CM,,1.1400000000000001,,No data,3,No data,0.26%
2026,April,25,MS-26-04799,Multivac,G-264-RYGB,CRASH CART PLASTIC SEAL,,4.039999999999999,,No data,3,No data,0.23%
2026,April,25,MS-26-04800,INJECTION  AREA,APC-3-NOZ-1,Nozzle for applicator,2466,5,0.20%,Acceptable 🟢,1,Below usual 🔻,0.50%
2026,April,25,MS-26-04801,INJECTION AREA,APC-3-COV-1,Cap Bottom Cover for Applicator (D:2.7cm),2625,10,0.38%,Acceptable 🟢,1,Below usual 🔻,0.59%
2026,April,25,MS-26-04802,SUPERMASTER#23,IV-HS-YL,CATHETERHUBG24W/OP,,0.03,,No data,1,No data,0.23%
2026,April,25,MS-26-04803,SUPERMASTER#25,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,,0.01,,No data,1,No data,0.09%
2026,April,25,MS-26-04804,ARBURG#12,IV-NP24-K-1,NEEDLEHOLDERW/PG24W/OSMMPNEEDLEHOLDERW/PG24KAHL,,0.04,,No data,1,No data,0.10%
2026,April,26,MS-26-04805,ARBURG #12,IV-NP-24-K1,NEEDLEHOLDERG24W/P,,0.04,,No data,1,No data,
2026,April,26,MS-26-04806,SUPER MASTER #23,IV-HS-YL,CATHETERHUBG24W/OP,,0.05,,No data,1,No data,0.23%
2026,April,26,MS-26-04807,Super Master#25,3WAY-KNOB-4,KNOB FOR 3WAY STOPCOCK-4,,0.01,,No data,1,No data,0.09%
2026,April,26,MS-26-04808,Huarong#32,3WAY-HOU-4,3WAYHOUSING4,,0.02,,No data,1,No data,0.34%
2026,April,26,MS-26-04809,HUARONG333,3WAY-HOU-5,3WAY HOUSING-5,,0.02,,No data,1,No data,0.36%
2026,April,26,MS-26-04810,INJECTION AREA,APC-3-CAP-1,Cap Top Housing for Applicator (D:1.5 cm),2833,15,0.53%,Acceptable 🟢,1,Below usual 🔻,0.55%
2026,April,26,MS-26-04811,INJECTION AREA,APC-3-PTC-1,Protector for Applicator (D:3.5 cm),2612,10,0.38%,Acceptable 🟢,1,Below usual 🔻,0.49%
2026,April,26,MS-26-04812,INJECTION AREA,APC-3-HOU-1,Housing for Applicator (D:1.5 cm),3548,9,0.25%,Acceptable 🟢,1,Below usual 🔻,0.57%
2026,April,26,MS-26-04814,INJECTION AREA,PET-CAP-50,PET CAP FOR 50ML BOTTLE,15028,30,0.20%,Acceptable 🟢,1,Below usual 🔻,0.66%
2026,April,26,MS-26-04815,INJECTION AREA,BOT-GEL-1000,GEL BOTTLE  1000 ML W/O NECK,955,5,0.52%,Acceptable 🟢,1,Below usual 🔻,1.56%
2026,April,26,MS-26-04816,INJECTION AREA,SUC-CON-T-180,SUCTIONCONNTUBES/S180CM.,4611,11,0.24%,Acceptable 🟢,1,Below usual 🔻,0.68%
2026,April,26,MS-26-04817,INJECTION AREA,SUC-CON-T-270,SUCTIONCONNTUBES/S270MINI,2818,18,0.64%,Acceptable 🟢,1,Above usual 🔺,0.47%
2026,April,26,MS-26-04818,INJECTION AREA,SUC-CON-T-180,SUCTIONCONNTUBES/S180CM.,4420,20,0.45%,Acceptable 🟢,1,Below usual 🔻,0.68%
2026,April,26,MS-26-04819,INJECTION AREA,BBT-7MM-5MTR,BABBLESTUBEID=7MMTL=5MT,150,30,20.00%,High reject 🔴,1,Above usual 🔺,2.35%
2026,April,26,MS-26-04820,INJECTION AREA,ZIP-L-PB-28,SELF SEALING PLASTIC BAG W/O PRINTING SIZE:28CM,307,2,0.65%,Acceptable 🟢,1,Below usual 🔻,1.23%
2026,April,26,MS-26-04821,INJECTION AREA,PVC-66CZV1NA-M,PVCCOMP-MXMED-66CZV1NAM,1965,15,0.76%,Acceptable 🟢,1,Above usual 🔺,0.45%
2026,April,26,MS-26-04822,WELDING MACHINE,G-304-0650B,SODIUM BICARBONATE FOR FRESENIUS 5008 HAEMODIALYSIS SYSTEM SZ: 650 GRAM,,24.06,,No data,9,No data,1.05%
2026,April,26,MS-26-04823,INJECTION AREA,APC-3-HOU-1,Housing for Applicator (D:1.5 cm),2588,21,0.81%,Acceptable 🟢,1,Above usual 🔺,0.57%
2026,April,26,MS-26-04824,INJECTION AREA,UM-1000ML,URINALMALEBOTTLE1000ML,2243,13,0.58%,Acceptable 🟢,1,Above usual 🔺,0.43%
2026,April,26,MS-26-04825,INJECTION AREA,SUC-CON-T-180,SUCTIONCONNTUBES/S180CM.,3828,28,0.73%,Acceptable 🟢,1,Above usual 🔺,0.68%
